Subject,user_id,condition,IMI_Choice,acceptance_rate
P1,User_01,A,0.25,0.5
P2,User_02,A,0.25,0.266666667
P3,User_03,A,0.25,0.583333333
P4,User_04,A,0.25,0.631578947
P5,User_05,A,0.25,0.5625
P6,User_06,A,0.25,0.333333333
P7,User_07,A,0.25,0.222222222
P8,User_08,A,0.25,0.529411765
P9,User_09,A,0.25,0.5
P10,User_10,A,0.0,0.466666667
P11,User_11,B,2.25,0.642857143
P12,User_12,B,2.25,0.4375
P13,User_13,B,2.25,0.642857143
P14,User_14,B,2.25,0.230769231
P15,User_15,B,2.25,0.769230769
P16,User_16,B,2.25,0.894736842
P17,User_17,B,2.0,0.5
P18,User_18,B,2.0,0.75
P19,User_19,B,2.0,0.642857143
P20,User_20,B,2.0,0.833333333
P21,User_21,C,3.25,0.529411765
P22,User_22,C,3.25,0.75
P23,User_23,C,3.25,0.857142857
P24,User_24,C,3.25,0.6
P25,User_25,C,3.25,0.722222222
P26,User_26,C,3.25,0.75
P27,User_27,C,3.75,1.0
P28,User_28,C,3.75,0.8125
P29,User_29,C,3.75,0.894736842
P30,User_30,C,3.75,1.0
